esp,ing
"Mi pasatiempo favorito es el jiujitsu brasileño.","My favorite hobby is Brazilian jiujitsu."
"Lo descubrí por casualidad cuando buscaba cursos en la universidad.","I discovered it by chance when I was looking for courses at university."
"Ya había inscrito todas mis clases académicas.","I had already registered for all my academic classes."
"Quería probar algo nuevo.","I wanted to try something new."
"Vi que el departamento deportivo ofrecía jiujitsu.","I saw that the sports department offered jiujitsu."
"Decidí intentarlo.","I decided to give it a try."
"Al principio no sabía mucho sobre el deporte.","At first, I didn’t know much about the sport."
"Después de unas sesiones me enganché.","After a few sessions, I got hooked."
"Practiqué jiujitsu en la universidad durante varios años.","I practiced jiujitsu at university for several years."
"Me encantaba cómo combinaba ejercicio y estrategia.","I loved how it combined exercise and strategy."
"Lo que más me gusta es que no usa golpes ni patadas.","What I like most is that it doesn’t use punches or kicks."
"Se basa en técnicas de agarre y sumisión.","It focuses on grappling and submission techniques."
"Hay que mantener la calma bajo presión.","You have to stay calm under pressure."
"Te hace pensar críticamente en cada movimiento.","It makes you think critically about every move."
"Ahora no entreno tan seguido como antes.","Now I don’t train as often as I used to."
"Empecé un nuevo trabajo y mi horario está lleno.","I started a new job and my schedule is full."
"A veces practico en un centro deportivo cerca de casa.","Sometimes I practice at a sports center near home."
"Mi objetivo es volver a entrenar regularmente.","My goal is to return to training regularly."
"El jiujitsu me ha enseñado paciencia y disciplina.","Jiujitsu has taught me patience and discipline."
"También me ayuda a aliviar el estrés.","It also helps me relieve stress."
"Quiero que sea una parte importante de mi vida otra vez.","I want it to be an important part of my life again."
"Mi festividad favorita es la Navidad.","My favorite holiday is Christmas."
"La celebro cada año con mi familia.","I celebrate it every year with my family."
"Nos reunimos en casa de mis abuelos.","We gather at my grandparents’ house."
"La casa se decora con luces y un árbol.","The house is decorated with lights and a tree."
"Ponemos música navideña todo el día.","We play Christmas music all day."
"Preparamos una gran cena juntos.","We prepare a big dinner together."
"Comemos platos especiales como pavo y postres.","We eat special dishes like turkey and desserts."
"Después de cenar, intercambiamos regalos.","After dinner, we exchange gifts."
"Me gusta ver las caras felices de mi familia.","I like seeing my family’s happy faces."
"También recordamos momentos especiales del año.","We also remember special moments from the year."
"Lo que más disfruto es el ambiente de amor.","What I enjoy most is the atmosphere of love."
"La Navidad me hace sentir agradecido.","Christmas makes me feel grateful."
"Es una época para compartir y dar.","It’s a time to share and give."
