Adjetivo,Comparativo,Superlativo,esp
angry,angrier,angriest,"enfadado, enojado"
bad,worse,worst,malo
big,bigger,biggest,grande
bitter,bitterer,bitterest,amargo
black,blacker,blackest,negro
bossy,bossier,bossiest,mandón
brave,braver,bravest,valiente
brief,briefer,briefest,breve
bright,brighter,brightest,"brillante, luminoso"
broad,broader,broadest,"ancho, amplio"
busy,busier,busiest,"ocupado, ajetreado"
calm,calmer,calmest,tranquilo
cheap,cheaper,cheapest,"barato, económico"
clean,cleaner,cleanest,"limpio, sano"
clear,clear,clearest,"claro, despejado"
clever,cleverer,cleverest,"listo, ingenioso"
close,closer,closest,cerca
cloudy,cloudier,cloudiest,nubiado
clumsy,clumsier,clumsiest,torpe
cold,colder,coldest,frío
cool,cooler,coolest,fresco
crazy,crazier,craziest,loco
creepy,creepier,creepiest,"espeluznante, repugnante"
crispy,crispier,crispiest,crujiente
cruel,crueler,cruelest,cruel
crunchy,crunchier,crunchiest,crujiente
curvy,curvier,curviest,curvo
dark,darker,darkest,"oscuro, moreno"
deadly,deadlier,deadliest,"mortal, mortífero"
deep,deeper,deepest,profundo
dense,denser,densest,denso
dirty,dirtier,dirtiest,sucio
dry,drier,driest,seco
dull,duller,dullest,"aburrido, sonso, apagado"
dumb,dumber,dumbest,tonto
early,earlier,earliest,temprano
easy,easier,easiest,facíl
faint,fainter,faintest,"leve, tenue, pálido, ligero"
fancy,fancier,fanciest,lujoso
far,further/farther,furthest/farthest,"lejos, distante"
fast,faster,fastest,rápido
fat,fatter,fattest,gordo
few,fewer,fewest,pocos
firm,firmer,firmest,"firme, estricto"
fit,fitter,fittest,"apto, en forma"
fresh,fresher,freshest,"fresco, nuevo, original"
friendly,friendlier,friendliest,"agradable, amable, amistoso"
full,fuller,fullest,"lleno, completo"
funny,funnier,funniest,"gracioso, curioso, raro"
gloomy,gloomier,gloomiest,"pesimista, abatido, decaído"
good,better,best,bueno
grand,grander,grandest,"grandioso, ambicioso, impotente"
greasy,greasier,greasiest,grasiento
great,greater,greatest,"grande, genial"
gross,grosser,grossest,"asqueroso, grosero, craso"
guilty,guilter,guiltiest,culpable
hairy,hairier,hairiest,"velludo, peludo"
happy,happier,happiest,"feliz, contento, alegre"
hard,harder,hardest,"duro, difícil"
healthy,healthier,healthiest,"sano, saludable"
heavy,heavier,heaviest,"pesado, grueso, fuerte, duro"
high,higher,highest,"alto, elevado, agudo"
hot,hotter,hottest,"caliente, caluroso, picante"
hungry,hungrier,hungriest,hambriento
icy,icier,iciest,"helado, frío"
itchy,itchier,itchiest,pica
kind,kinder,kindest,"amable, bueno, bondadoso"
large,larger,largest,grande
lazy,lazier,laziest,perezoso
light,lighter,lightest,"ligero, claro"
little,littler,littlest,"pequeño, poco"
lonely,lonelier,loneliest,solitario
long,longer,longest,largo
lovely,lovelier,loveliest,"precioso, bello, lindo"
low,lower,lowest,bajo
mad,madder,maddest,"enfadado, enojado, loco"
mean,meaner,meanest,"malo, mezquino, tacaño"
messy,messier,messiest,"sucio, desordenado, desastroso"
nasty,nastier,nastiest,"repugnante, desagradable"
naughty,naughtier,naughtiest,"malo, travieso, pícaro"
near,nearer,nearest,"cercano, próximo"
neat,neater,neatest,"ordenado, aseado, pulcro"
needy,needier,neediest,necesitado
new,newer,newest,"nuevo, fresco, reciente, moderno"
nice,nicer,nicest,"simpatico, agradable, bueno"
noisy,noisier,noisiest,"ruidoso, clamoroso"
old,older/elder,oldest/eldest,"viejo, anciano, antiguo"
plain,plainer,plainest,"claro, sencillo"
polite,politer,politest,"educado, cortés"
poor,poorer,poorest,pobre
pretty,prettier,prettiest,"bonito, lindo, hermoso"
proud,prouder,proudest,"orgulloso, soberbio, digno"
pure,purer,purest,puro
quick,quicker,quickest,rápido
quiet,quieter,quietest,"tranquilo, silencioso"
rare,rarer,rarest,raro
rich,richer,richest,"rico, abundante"
risky,riskier,riskiest,"arriesgado, peligroso"
roomy,roomier,roomiest,espacioso
rough,rougher,roughest,"áspero, tosco, bruto, ronco"
rude,ruder,rudest,"maleducado, grosero, tosco"
sad,sadder,saddest,"triste, lamentable, penoso"
safe,safer,safest,seguro
salty,saltier,saltiest,salado
sane,saner,sanest,"cuerdo, sensato"
scary,scarier,scariest,"espantoso, asustadizo"
shallow,shallower,shallowest,"superficial, poco profundo"
shiny,shinier,shiniest,"brillante, reluciente"
short,shorter,shortest,"corto, bajo, chaparro"
shy,shyer,shyest,tímido
silly,sillier,silliest,tonto
simple,simpler,simplest,"sencillo, simple, facíl"
sincere,sincerer,sincerest,"sincero, genuino"
skinny,skinnier,skinniest,flaco
sleepy,sleepier,sleepiest,"adormilado, soñoliento"
slim,slimmer,slimmest,"delgado, fino"
slimy,slimier,slimiest,"viscoso, pegajoso, empalagoso"
slow,slower,slowest,lento
small,smaller,smallest,pequeño
smart,smarter,smartest,"listo, inteligente, agudo"
smelly,smellier,smelliest,apestoso
smooth,smoother,smoothest,"liso, suave, llano, fluido"
soft,softer,softest,"blando, suave"
soon,sooner,soonest,pronto
sorry,sorrier,sorriest,lamentable
spicy,spicier,spiciest,"picante, especiado, sazonado"
stingy,stingier,stingiest,"tacaño, rácano, raquítico"
strange,stranger,strangest,"raro, extraño, desconocido"
strict,stricter,strictest,"estricto, rígido"
strong,stronger,strongest,"fuerte, sólido, intenso, marcado"
sunny,sunnier,sunniest,"soleado, radiante"
sweaty,sweatier,sweatiest,sudoroso
sweet,sweeter,sweetest,dulce
tall,taller,tallest,alto
tan,tanner,tannest,"bronceado, moreno"
tasty,tastier,tastiest,"rico, sabroso, apetitoso"
thin,thinner,thinnest,"delgado, fino"
thirsty,thirstier,thirstiest,sediento
tiny,tinier,tiniest,"diminuto, minúsculo"
ugly,uglier,ugliest,feo
warm,warmer,warmest,"caliente, templado, cálido"
weak,weaker,weakest,"débil, flojo"
weird,weirder,weirdest,"raro, extraño"
wet,wetter,wettest,"mojado, húmedo, lluvioso"
wide,wider,widest,"ancho, amplio, extenso"
wild,wilder,wildest,"salvaje, silvestre, descontrolado"
windy,windier,windiest,ventoso
wise,wiser,wisest,"sabio, sensato, prudente"
worldly,worldlier,worldliest,"mundano, terreno"
young,younger,younges,joven
