esp,ing
acerca de,about
absurdo,absurd
abismo,abyss
acrónimo,acronym
acto,act
adicto,addict
fanático,addicted
admitir,admit
adrenalina,adrenaline
asustado,afraid
después,after
de nuevo,again
en contra,against
hace,ago
agonía,agony
adelante,ahead
viva,alive
todas,all
solo,alone
a lo largo,along
ya,already
bien,alright
siempre,always
a.m,am
amoxicilina,amoxicillin
un,an
y,and
otro,andre
animales,animals
otro,another
alguna,any
nunca más,anymore
de todas formas,anyway
aparte,apart
apatía,apathy
son,are
alrededor,around
artista,artist
como,as
aparte,aside
preguntando,asking
dormido,asleep
asumir,assume
a,at
ataque,attack
despierto,awake
lejos,away
bebé,baby
espalda,back
Respaldados,backed
malo,bad
apenas,barely
batalla,battle
batallas,battles
luchando,battling
ser,be
bestia,beast
golpear,beat
porque,because
volverse,become
cama,bed
estado,been
cerveza,beer
antes de,before
comenzado,begun
detrás,behind
creencia,belief
creer,believe
curva,bend
debajo,beneath
junto a,beside
mejor,best
pero,bet
mejor,better
más allá,beyond
Biggie,biggie
nacimiento,birth
poco,bit
perra,bitch
asfalto,blacktop
culpa,blame
inocente,blameless
blanqueador,bleach
parpadeo,blink
bloquear,block
sangre,blood
sed de sangre,bloodlust
soplar,blow
estropeado,blown
poli,bobby
cuerpo,body
bomba,bomb
hueso,bone
cabina,booth
frontera,border
aburrido,bored
molesto,bothering
cerebro,brain
descanso,break
rotura,breaking
descansos,breaks
aliento,breath
respirar,breathe
traer,bring
roto,broken
edificio,building
quemar,burn
ardiente,burning
enterrar,bury
pero,but
por,by
enjaulado,caged
calamidad,calamity
llamada,call
vocación,calling
calma,calm
vino,came
poder,can
descuidado,careless
que lleva,carrying
captura,catch
atrapado,caught
porque,cause
causando,causing
precaución,caution
cierto,certain
caos,chaos
Despegar,chiiling
escalofriante,chilling
escoger,choose
Iglesia,church
circular,circulate
claridad,clarity
claro,clear
despeja,clears
inteligente,clever
clic,clique
reloj,clock
cerca,close
armario,closet
agarrando,clutching
polla,cock
código,code
recoger,collect
comatoso,comatose
ven,come
proviene,comes
viniendo,coming
comentario,comment
empresa,company
completar,complete
complejidades,complexities
complicar,complicate
complicaciones,complications
comprender,comprehend
concentrado,concentrated
preocupado,concerned
condonar,condone
confesar,confess
conflicto,conflict
confuso,confused
conecta,connects
constante,constant
revisado,controlled
vez,cop
podría,could
choque,crash
tripulación,crew
crimen,crime
herida,crippling
cruzar,cross
multitud,crowd
corona,crown
llorar,cry
cristal,crystal
cura,cure
cortar,cut
bailando,dancing
oscuro,dark
amanecer,dawn
día,day
dias,days
muerto,dead
muerte,death
decaer,decay
decisión,decision
dedicado,dedicated
profundo,deep
entregar,deliver
demonio,demon
negar,deny
salido,departed
merecer,deserve
diseño,design
desesperación,despair
A pesar de,despite
hizo,did
la,die
murió,died
diferente,different
mostrando,displaying
hacer,do
hace,does
obra,doing
hecho,done
por,door
droga,dope
punto,dot
duda,doubt
abajo,down
sueño,dream
manejar,drive
soltar,drop
caído,dropped
droga,drug
seco,dry
secadora,dryer
moribundo,dying
tierra,earth
comer,eat
sin esfuerzo,effortlessly
ocho,eight
ochenta,eighty
más,else
embarazoso,embarrassing
abrazando,embracing
emoción,emotion
vacío,emptiness
vacío,empty
habilitar,enable
fin,end
interminable,endlessness
termina,ends
enemigos,enemies
atractivo,engaging
suficiente,enough
enteramente,entirely
envidia,envy
Igualmente,equally
incluso,even
nunca,ever
cada,every
todos,everybody
cada día,everyday
todo,everything
exorcizado,exorcised
explota,explodes
ojos,eyes
cara,face
hecho,fact
fe,faith
otoño,fall
que cae,falling
lejos,far
rápido,fast
Más rápido,faster
destino,fate
culpa,fault
favores,favors
miedo,fear
temido,feared
sensación,feel
sensación,feeling
siente,feels
quince,fifteen
cincuenta,fifty
lucha,fight
lucha,fighting
relleno,filling
encontrar,find
multa,fine
fuego,fire
primero,first
pescado,fish
puño,fist
puños,fists
cinco,five
burbujeante,fizzing
bandera,flag
llamas,flames
brillante,flashing
plano,flat
piso,floor
fluir,flow
centrado,focused
seguir,follow
para,for
Siempre,forever
olvidar,forget
olvidó,forgot
fuerte,fort
adelante,forth
encontró,found
gratis,free
de,from
primera línea,frontline
Líneas del frente,frontlines
Mierda,fuck
completo,full
divertido,fun
juego,game
obtener,get
se pone,gets
consiguiendo,getting
fantasma,ghost
niña,girl
dar,give
dado,given
globo,globe
ir,go
Dios,god
va,goes
ido,gone
va a,gonna
bueno,good
tiene,got
tengo que,gotta
codicia,greed
apretón,grip
suelo,ground
huésped,guest
culpable,guilty
chico,guy
hábito,habit
tenido,had
mitad,half
pasillos,halls
manos,hands
colgar,hang
contento,happy
difícil,hard
Más fuerte,harder
apenas,hardly
odio,hate
tener,have
él,he
cabeza,head
oír,hear
oído,heard
corazón,heart
de corazón,hearted
copas,hearts
calor,heat
cielo,heaven
infierno,hell
ayuda,help
aquí,here
escondido,hid
esconder,hide
ocultación,hiding
alto,high
autopista,highway
él,him
él mismo,himself
cadera,hip
su,his
golpear,hit
golpes,hits
corvejón,hock
sostener,hold
participación,holding
salto,hop
esperanza,hope
esperado,hoped
caliente,hot
casa,house
cómo,how
humillado,humbled
cien,hundred
hambre,hunger
cazar,hunt
herir,hurt
publicitado,hyped
yo,i
Si,if
encendido,ignition
ignorar,ignore
enfermo,ill
espejismo,illusion
imposible,impossible
encarcelamiento,imprisoning
en,in
industria,industry
interior,inner
inocencia,innocence
dentro,inside
instigar,instigate
integridad,integrity
dentro,into
es,is
eso,it
sus,its
arrendajo,jay
celos,jealousy
jugo,juice
saltar,jump
sólo,just
mantener,keep
mantiene,keeps
llave,key
niños,kids
asesinato,killing
tipo,kind
saber,know
conocido,known
sabe,knows
carril,lane
lanzamiento,launching
laico,lay
dirigir,lead
aprender,learn
aprendido,learned
salir,leave
LED,led
izquierda,left
piernas,legs
lección,lesson
lectura,lest
dejar,let
mentira,lie
mentiras,lies
vida,life
ligero,light
luces,lights
me gusta,like
línea,line
lista,list
escucha,listen
oyentes,listeners
pequeño,little
vivir,live
vive,lives
vivo,living
bloquear,lock
largo,long
más,longer
Mira,look
mirando,looking
perder,lose
perdiendo,losing
perdió,lost
mucho,lot
ruidoso,loud
amor,love
suerte,luck
letra,lyrics
metro,m
máquina,machine
magia,magic
hacer,make
hace,makes
fabricación,making
malos,mals
hombre,man
muchos,many
calificación,marking
importar,matter
asuntos,matters
mayo,may
tal vez,maybe
media,mean
medio,means
significado,meant
recuerdos,memories
memoria,memory
mente,mend
mensaje,message
método,method
pequeño,mic
podría,might
Cubierto,mighta
micro,mike
millón,million
millones,millions
mente,mind
mentes,minds
mía,mine
mínimo,minimal
menor,minor
minuto,minute
milagro,miracle
juzgar mal,misjudge
engañar,mislead
Error,mistake
errores,mistakes
momento,moment
dinero,money
monstruo,monster
Más,more
Mañana,morning
hijo de puta,motherfucker
hijos de puta,motherfuckers
inmóvil,motionless
motivación,motivation
boca,mouth
mucho,much
música,music
debe,must
mi,my
mí mismo,myself
nombre,name
al,nas
Nate,nate
cuellos,necks
necesitar,need
Nunca,never
noche,night
pesadilla,nightmare
noches,nights
nihilista,nihilist
nadie,nobody
ruido,noise
no,not
Nota,note
nada,nothing
nada,nothingness
ahora,now
nuevo,ny
olvido,oblivion
de,of
apagado,off
ofender,offend
oferta,offer
a menudo,often
Oh,oh
en,on
una vez,once
uno,one
unos,ones
solamente,only
sobre,onto
abierto,open
abrió,opened
apertura,opening
oportunidades,opportunities
opciones,options
o,or
orden,order
originalmente,originally
otro,other
nuestra,our
fuera,out
encima,over
de ultramar,overseas
O,ow
propio,own
Pac,pac
ritmo,pacing
dolor,pain
pintar,paint
compañero,partner
partes,parts
paso,passing
pasado,past
camino,path
pacientemente,patiently
pausa,pause
penicilina,penicillin
gente,people
por ciento,percent
quizás,perhaps
pequeño,petty
físico,physical
recoger,pick
cosecha,picking
imagen,picture
píldora,pill
fijación,pinning
lugar,place
placa,plaque
platino,platinum
Placer,pleasure
trama,plot
puerco espín,porcupine
poder,power
oración,prayer
fingir,pretend
atacando,preying
pinchazo,prick
probablemente,probably
problema,problem
producto,product
promesa,promise
promesas,promises
prueba,proof
accesorios,props
Halar,pull
poner,put
pone,puts
temblante,quaking
acelerar,quicken
más rápido,quicker
tranquilo,quiet
dejar,quitter
carreras,racing
rabia,rage
elevado,raised
raperos,rappers
golpes,raps
más bien,rather
maquinilla de afeitar,razor
alcanzar,reach
Listo,ready
realidad,reality
darse cuenta de,realize
De Verdad,really
razón,reason
grabar,record
se niega,refuses
Reggie,reggie
restante,remaining
remedio,remedy
recuerda,remember
