ing,Español
Documentation,Documentación
Passport,Pasaporte
Police,Policía
Customs,Aduana (costumbres)
"Baggage, luggage",Equipaje
"Case, suitcase",Maleta
Briefcase,Maletín
Bag,Bolsa
"Pack, packet, package",Paquete
"Bag, handbag",Bolso
Pocket,Bolsillo
Video camera,Cámara de vídeo
Photo camera,Cámara de fotos
Queue,Cola (fila)
Control,Control
Help,Ayuda
Entry,Entrada
Exit,Salida
Right,Derecha
Left,Izquierda
Airport,Aeropuerto
Port,Puerto
Train station,Estación de tren
Bus station,Estación de bus
"Subway, underground station",Estación de met
"Plane, airplane",Avión
Flight,Vuelo
Ship,Barco
"Tram, streetcar",Tranvía
Wagon,Vagón
"Taxi, cab",Taxi
Car,Coche
Garage,Garaje
Motorbike,Moto
"Bike, bicicle",Bicicleta
"Highway, freeway",Autopista
Road,Carretera
Way,Camino
"Petrol station, gas station",Gasolinera
"Bus stop, taxi rank",Parada
"Platform, sidewalk",Andén
"Track, road, way",Vía
"Schedule, timetable",Horario
Ticket,Billete
Seat,Asiento
Row,Fila
Class,Clase
Preferential,Preferente
Tourist,Turista
Cabin,Camarote
Hotel,Hotel
Room,Habitación
Number,Número
Key,Llave
"Lift, elevator",Ascensor
"Stairs, staircase",Escaleras
Floor,Planta (piso)
Corridor,Pasillo
Hall,Salón
Forniture,Mueble
"Couch, sofa",Sofá
Armchair,Sillón
Chair,Silla
Table,Mesa
Carpet,Alfombra
Phone,Teléfono
Television,Televisión
Radio,Radio
Remote control,Mando (distancia)
Batteries,Pilas
Electricity,Electricidad
Lamp,Lámpara
Balcony,Balcón
"Light, sunlight",Luz (solar)
Bedroom,Dormitorio
Curtain,Cortina
Closet,Armario
Bed,Cama
Sheet,Sábana
Blanket,Manta
Bathroom,Baño
Washbasin,Lavabo
Shower,Ducha
Soap,Jabón
Towel,Toalla
Toilet paper,Papel higiénico
"Brush, hairbrush, toothbrush",Cepillo
Toothpaste,Pasta dental
If,Sí
Always,Siempre
Also,También
Exact,Exacto
"True, certain",Cierto
"The same(el mismo), alike, identical",Igual
"No, not, non-(prefijo)smoker",No
Never,Nunca
"Not….either, neither",Tampoco
False,Falso
"Just, fair, unjust, unfair","Justo, Injusto"
Different,Distinto
Maybe,Quizá
Depend,Depende
Sometimes,A veces
"Well, nice, properly",Bien
"Bad, poor",Mal
"So, thus",Así
the,el/la/los/las
of,de
to,a/hacia
and,y
a,un/una
in,en
is,es
it,eso
you,tú/ustedes
that,ese
he,él
was,estaba
for,para
on,en/sobre
are,son/están
with,con
as,como
I,yo
his,su (de él)
they,ellos/ellas
be,ser/estar
at,a
one,uno
have,tener
this,esta/esto
from,de
or,o
had,tenido
by,por
hot,caliente
word,palabra
but,pero
what,qué
some,algunos
we,nosotros
can,poder
out,fuera
other,otro
were,fueron
all,todas
there,ahí
when,cuando
up,arriba
use,utilizar
your,Su/vuestro(s)/vuestra(s)
how,cómo
said,dijo
an,un
each,cada
she,ella
which,cual
do,hacer
their,su (de ellos)
time,hora/tiempo
if,Si (como condicional)
will,será
way,camino
about,acerca de
many,muchos
then,entonces
them,ellos
write,escribir
would,haría
like,me gusta
so,asi que
these,estas
her,su (de ella)
long,largo
make,hacer
thing,cosa
see,ver
him,él
two,dos
has,tiene
look,Mira
more,Más
day,día
could,podría
go,ir
come,ven
did,hizo
number,número
sound,sonar
no,no
most,más
people,gente
my,mi/gente
over,encima/sobre
know,saber
water,agua
than,que
call,llamada
first,primero
who,quien
may,mayo
down,abajo
side,lado
been,estado
now,ahora
find,encontrar
any,alguna
new,nuevo
work,trabajo
part,parte
take,tomar
get,obtener
place,lugar
made,hecho
live,vivir
where,dónde
after,después
back,atrás/espalda
little,pequeño
only,solamente
round,redondo
man,hombre
year,año
came,vino
show,espectáculo
every,cada
good,bueno
me,yo
give,dar
our,nuestra
under,debajo
name,nombre
very,muy
through,mediante
just,sólo
form,formar
sentence,frase
great,estupendo
think,pensar
say,decir
help,ayuda
low,bajo
line,línea
differ,diferir de
turn,giro
cause,porque
much,mucho
mean,media
before,antes de
move,movimiento
right,derecho
boy,chico
old,antiguo
too,también
same,mismo
tell,contar
does,hace
set,conjunto/ajustar
three,Tres
want,querer
air,aire
well,bien
also,además
play,jugar
small,pequeña
end,fin
put,poner
home,casa
read,leer
hand,mano
port,Puerto
large,grande
spell,deletrear
add,añadir
even,incluso
land,tierra
here,aquí
must,debe
big,grande
high,alto
such,tal
follow,seguir
act,acto
why,por qué
ask,pedir
men,hombres
change,cambio
went,fuimos
light,ligero
kind,tipo
off,apagado
need,necesitar
house,casa
picture,imagen
try,tratar/intentar
us,nos
again,de nuevo/otra vez
animal,animal
point,punto
mother,madre
world,mundo
near,cerca
build,construir
self,yo mismo
earth,tierra
father,padre
head,cabeza
stand,estante/posición/estar de pie
own,propio
page,página
should,debería
country,país
found,encontró
answer,responder
school,colegio
grow,crecer
study,estudiar
still,silencioso
learn,aprender
plant,planta
cover,cubrir
food,comida
sun,sol
four,cuatro
between,Entre
state,estado
keep,guardar/mantener
eye,ojo
never,Nunca
last,último
let,dejar
thought,pensamiento
city,ciudad
tree,árbol
cross,cruzar
farm,granja
hard,difícil
start,comienzo
might,podría
story,historia
saw,Sierra
far,lejos
sea,mar
draw,dibujar
left,izquierda
late,tarde
run,correr
don't,No
while,mientras
press,prensa
close,cerrado
night,noche
real,real
life,vida
few,pocos
north,norte
open,abierto
seem,parecer
together,juntos
next,siguiente
white,blanco
children,niños
begin,empezar
got,tiene
walk,caminar
example,ejemplo
ease,facilitar
paper,papel
group,grupo
always,siempre
music,música
those,aquellos
both,ambos
mark,marca
often,a menudo
letter,carta
until,hasta/ hasta qu
mile,milla
river,río
car,coche
feet,Pies
care,cuidado
second,segundo
book,libro
carry,llevar
took,tomó
science,ciencia
eat,comer
room,habitación
friend,amigo
began,empezó
idea,idea
fish,pescado
mountain,montaña
stop,detener
once,una vez
base,base
hear,oír
horse,caballo
cut,cortar
sure,Por supuesto
watch,reloj
color,color
face,cara
wood,madera
main,Principal
enough,suficiente
plain,llanura
girl,Chica
usual,usual
young,joven
ready,Listo
above,encima
ever,alguna vez
red,rojo
list,lista
though,aunque
feel,sensación
talk,hablar
bird,pájaro
soon,pronto
body,cuerpo
dog,perro
family,familia
direct,directo
pose,pose
leave,salir
song,canción
measure,medida
door,puerta
product,producto
black,negro
short,corto
numeral,número
class,clase
wind,viento
question,pregunta
happen,ocurrir
complete,completar
ship,envio
area,zona
half,mitad
rock,rock
order,orden
fire,fuego
south,sur
problem,problema
piece,pieza
told,dicho
knew,Sabía
pass,pasar
since,desde
top,parte superior
whole,todo
king,Rey
space,espacio
heard,Oído
best,mejor
hour,hora
better,mejor
true,cierto
during,durante
hundred,cien
five,cinco
remember,recuerda
step,paso
early,temprano
hold,sostener
west,Oeste
ground,suelo/tierra
interest,interesar
reach,alcanzar
fast,rápido
verb,verbo
sing,canta
listen,escucha
six,seis
table,mesa
travel,viajar
less,Menos
morning,Mañana
ten,diez
simple,sencillo
several,varios
vowel,vocal
toward,hacia
war,guerra
lay,laico
against,en contra
pattern,patrón
slow,lento
center,centrar
love,amor
person,persona
money,dinero
serve,servir
appear,Aparecer
road,carretera/camino
map,mapa
rain,lluvia
rule,regla
govern,gobernar
pull,Halar
cold,frío
notice,darse cuenta
voice,voz
unit,unidad
power,poder
town,pueblo
fine,multa/fino/sutil
certain,certero
fly,mosca/volar
fall,otoño
lead,dirigir
cry,llorar
dark,oscuro
machine,máquina
note,Nota
wait,Espere
plan,plan
figure,figura
star,estrella
box,caja
noun,sustantivo
field,campo
rest,descanso
correct,correcto
able,capaz/hábil
pound,libra
done,hecho
beauty,belleza
drive,manejar
stood,destacado
contain,Contiene
front,frente
teach,enseñar
week,semana
final,final
gave,Dio
green,verde
oh,Oh
quick,rápido
develop,desarrollar
ocean,Oceano
warm,calentar
free,gratis/libre
minute,minuto
strong,fuerte
special,especial
mind,mente
behind,detrás de/por detrás
clear,claro
tail,cola
produce,Produce
fact,hecho
street,calle
inch,pulgada
multiply,multiplicar
nothing,nada
course,curso
stay,permanecer
wheel,rueda
full,completo
force,fuerza
blue,azul
object,objeto
decide,decidir
surface,superficie
deep,profundo
moon,Luna
island,isla
foot,pie
system,sistema
busy,ocupado
test,prueba
record,grabar
boat,barco/bote
common,común
gold,oro
possible,posible
plane,avión
stead,lugar
dry,seco
wonder,preguntarse
laugh,risa
thousand,mil
ago,hace
ran,corrió
check,comprobar
game,juego
shape,forma
equate,equiparar
hot,caliente
miss,perder
brought,trajo
heat,calor
snow,nieve
tire,neumático
bring,traer
yes,sí
distant,distante
fill,llenar
east,este
paint,pintar
language,idioma
among,entre
